ANNO_SOLARE;COD_Ateneo;NOME_ATENEO;CODICE_GETTITO;DESCRIZIONE_GETTITO;CONSUNTIVO
2008;03001;Udine - Università degli studi;02 ;Gettito relativo a corsi di dottorato;0
2008;03001;Udine - Università degli studi;03 ;Gettito relativo a corsi di specializzazione;1257883
2008;03001;Udine - Università degli studi;04 ;Gettito relativo a corsi di perfezionamento e master;215659
2008;03001;Udine - Università degli studi;04a;Gettito relativo ad altri corsi;13293
2008;03001;Udine - Università degli studi;05 ;Tassa regionale per il DSU (se riscossa da università);1904100
2008;03001;Udine - Università degli studi;06a;Gettito esami di stato, tirocini e test pre-immatricolazioni;237250
2008;03001;Udine - Università degli studi;07 ;Altre entrate non necessarie per l'iscrizione;299845
2008;03001;Udine - Università degli studi;08 ;Altro da studenti, non costituente gettito;289899
2008;03201;Trieste - Università degli studi;01 ;Gettito relativo a corsi di laurea, corsi di laurea magistrale, corsi del vecchio ordinamento;17298974
2008;03201;Trieste - Università degli studi;02 ;Gettito relativo a corsi di dottorato;144271
2008;03201;Trieste - Università degli studi;03 ;Gettito relativo a corsi di specializzazione;775262
2008;03201;Trieste - Università degli studi;04 ;Gettito relativo a corsi di perfezionamento e master;521666
2008;03201;Trieste - Università degli studi;04a;Gettito relativo ad altri corsi;24572
2008;03201;Trieste - Università degli studi;05 ;Tassa regionale per il DSU (se riscossa da università);2051551
2008;03201;Trieste - Università degli studi;06a;Gettito esami di stato, tirocini e test pre-immatricolazioni;0
2008;03201;Trieste - Università degli studi;07 ;Altre entrate non necessarie per l'iscrizione;719019
2008;03201;Trieste - Università degli studi;08 ;Altro da studenti, non costituente gettito;0
2008;03202;Trieste - Scuola internazionale superiore di studi avanzati;01 ;Gettito relativo a corsi di laurea, corsi di laurea magistrale, corsi del vecchio ordinamento;0
2008;03202;Trieste - Scuola internazionale superiore di studi avanzati;02 ;Gettito relativo a corsi di dottorato;0
2008;03202;Trieste - Scuola internazionale superiore di studi avanzati;03 ;Gettito relativo a corsi di specializzazione;0
2008;03202;Trieste - Scuola internazionale superiore di studi avanzati;04 ;Gettito relativo a corsi di perfezionamento e master;90350
2008;03202;Trieste - Scuola internazionale superiore di studi avanzati;04a;Gettito relativo ad altri corsi;0
